k,t,Qnum,Qlevel,Qlength,approach,time,size
20,3,35,4,3,TCA,0.22,166.4
20,3,44,5,3,TCA,0.23,170
20,3,53,6,3,TCA,0.236,170.2
20,3,62,7,3,TCA,0.234,172.6
20,3,71,8,3,TCA,0.24,176.4
20,3,80,9,3,TCA,0.242,176.8
80,3,0,0,3,TCA,5.514,310
80,3,17,1,3,TCA,33.364,311.4
80,3,35,2,3,TCA,34.568,313.2
80,3,53,3,3,TCA,37.204,313
80,3,71,4,3,TCA,39.854,316.4
80,3,89,5,3,TCA,43.516,318.8
80,3,107,6,3,TCA,47.008,318
80,3,125,7,3,TCA,46.476,322.8
80,3,143,8,3,TCA,51.334,321.4
80,3,160,9,3,TCA,51.71,323.4
140,3,0,0,3,TCA,42.484,374.8
140,3,23,1,3,TCA,327.436,377.8
140,3,47,2,3,TCA,325.292,378.6
140,3,70,3,3,TCA,338.494,380.8
140,3,94,4,3,TCA,363.494,382.4
140,3,118,5,3,TCA,379.012,381.2
140,3,141,6,3,TCA,416.406,383
140,3,165,7,3,TCA,430.484,383.4
140,3,189,8,3,TCA,450.638,388.6
140,3,212,9,3,TCA,472.346,387.8
200,3,0,0,3,TCA,126.002,413.6
200,3,28,1,3,TCA,1261.584,415.6
200,3,56,2,3,TCA,1279.22,418.4
200,3,84,3,3,TCA,1313.788,416.4
200,3,113,4,3,TCA,1353.326,417.8
200,3,141,5,3,TCA,1459.834,422.4
200,3,169,6,3,TCA,1542.59,423.2
200,3,197,7,3,TCA,1615.956,423
200,3,226,8,3,TCA,1760.47,424.4
200,3,254,9,3,TCA,1790.926,426.6
20,2,0,0,4,TCA,0,24
20,2,8,1,4,TCA,0.01,32
20,2,17,2,4,TCA,0.008,31.4
20,2,26,3,4,TCA,0.01,32.2
20,2,35,4,4,TCA,0.01,31.6
20,2,44,5,4,TCA,0.01,32.2
20,2,53,6,4,TCA,0.01,32.4
20,2,62,7,4,TCA,0.014,32.6
20,2,71,8,4,TCA,0.012,33
20,2,80,9,4,TCA,0.016,33.2
80,2,0,0,4,TCA,0.05,52
80,2,17,1,4,TCA,0.526,50.8
80,2,35,2,4,TCA,0.564,53
80,2,53,3,4,TCA,0.59,50.6
80,2,71,4,4,TCA,0.608,51.6
80,2,89,5,4,TCA,0.62,51.4
80,2,107,6,4,TCA,0.658,52
80,2,125,7,4,TCA,0.674,51.8
80,2,143,8,4,TCA,0.668,51.6
80,2,160,9,4,TCA,0.726,52.4
140,2,0,0,4,TCA,0.174,59.4
140,2,23,1,4,TCA,2.654,59.8
140,2,47,2,4,TCA,2.668,59
140,2,70,3,4,TCA,2.874,59.6
140,2,94,4,4,TCA,2.91,59.6
140,2,118,5,4,TCA,3.04,59.4
140,2,141,6,4,TCA,3.112,60
140,2,165,7,4,TCA,3.28,58.2
140,2,189,8,4,TCA,3.376,60.6
140,2,212,9,4,TCA,3.486,60.2
200,2,0,0,4,TCA,0.382,63
200,2,28,1,4,TCA,7.236,63.6
200,2,56,2,4,TCA,7.366,64.4
200,2,84,3,4,TCA,7.39,64
200,2,113,4,4,TCA,7.618,64.2
200,2,141,5,4,TCA,7.916,62.8
200,2,169,6,4,TCA,8.272,64.8
200,2,197,7,4,TCA,8.524,63.6
200,2,226,8,4,TCA,8.746,63.8
200,2,254,9,4,TCA,8.982,64
20,3,0,0,4,TCA,0.042,157.4
20,3,8,1,4,TCA,0.184,159.2
20,3,17,2,4,TCA,0.198,159.2
20,3,26,3,4,TCA,0.206,159
20,3,35,4,4,TCA,0.22,161.4
20,3,44,5,4,TCA,0.216,161.8
20,3,53,6,4,TCA,0.216,162.4
20,3,62,7,4,TCA,0.222,161.6
20,3,71,8,4,TCA,0.232,164.6
20,3,80,9,4,TCA,0.226,162.2
80,3,0,0,4,TCA,5.582,310
80,3,17,1,4,TCA,35.606,307.6
80,3,35,2,4,TCA,37.956,312.2
80,3,53,3,4,TCA,40.618,310.4
80,3,71,4,4,TCA,43.05,309.6
80,3,89,5,4,TCA,43.84,311.4
80,3,107,6,4,TCA,44.962,312
80,3,125,7,4,TCA,47.104,313
80,3,143,8,4,TCA,48.866,313.2
80,3,160,9,4,TCA,49.654,314.4
140,3,0,0,4,TCA,41.442,374.8
140,3,23,1,4,TCA,329.18,373.6
140,3,47,2,4,TCA,349.09,375.4
140,3,70,3,4,TCA,366.686,377.6
140,3,94,4,4,TCA,390.66,376.6
140,3,118,5,4,TCA,402.468,377.6
140,3,141,6,4,TCA,433.64,378.6
140,3,165,7,4,TCA,440.94,376.8
140,3,189,8,4,TCA,451.918,375.4
140,3,212,9,4,TCA,469.006,379.2
200,3,0,0,4,TCA,127.942,413.6
200,3,28,1,4,TCA,1274.75,412.8
200,3,56,2,4,TCA,1342.826,416.4
200,3,84,3,4,TCA,1413.604,413.6
200,3,113,4,4,TCA,1451.476,416.8
200,3,141,5,4,TCA,1585.334,414.4
200,3,169,6,4,TCA,1734.792,416.2
200,3,197,7,4,TCA,1720.046,415.8
200,3,226,8,4,TCA,1749.742,415.8
200,3,254,9,4,TCA,1824.052,416.4
20,2,0,0,5,TCA,0,24
20,2,8,1,5,TCA,0.01,31.6
20,2,17,2,5,TCA,0.01,32.2
20,2,26,3,5,TCA,0.01,31.8
20,2,35,4,5,TCA,0.01,32.8
20,2,44,5,5,TCA,0.01,32
20,2,53,6,5,TCA,0.01,32.4
20,2,62,7,5,TCA,0.01,32
20,2,71,8,5,TCA,0.01,32.6
20,2,80,9,5,TCA,0.01,32.8
80,2,0,0,5,TCA,0.05,52
80,2,17,1,5,TCA,0.532,51.4
80,2,35,2,5,TCA,0.536,51.2
80,2,53,3,5,TCA,0.566,52.2
80,2,71,4,5,TCA,0.594,52
80,2,89,5,5,TCA,0.572,51.6
80,2,107,6,5,TCA,0.63,51.8
80,2,125,7,5,TCA,0.628,52.2
80,2,143,8,5,TCA,0.618,50.8
80,2,160,9,5,TCA,0.652,51.8
140,2,0,0,5,TCA,0.174,59.4
140,2,23,1,5,TCA,2.676,58.6
140,2,47,2,5,TCA,2.728,59.4
140,2,70,3,5,TCA,2.832,60
140,2,94,4,5,TCA,2.716,58.8
140,2,118,5,5,TCA,2.926,59.6
140,2,141,6,5,TCA,2.946,59.2
140,2,165,7,5,TCA,3.014,58.8
140,2,189,8,5,TCA,3.11,58.8
140,2,212,9,5,TCA,3.198,59
200,2,0,0,5,TCA,0.38,63
200,2,28,1,5,TCA,7.144,64.8
200,2,56,2,5,TCA,7.25,62.2
200,2,84,3,5,TCA,7.334,63.2
200,2,113,4,5,TCA,7.466,64.6
200,2,141,5,5,TCA,7.742,64.6
200,2,169,6,5,TCA,7.788,64.2
200,2,197,7,5,TCA,8.03,63.4
200,2,226,8,5,TCA,8.36,62.8
200,2,254,9,5,TCA,8.508,63.8
20,3,0,0,5,TCA,0.042,157.4
20,3,8,1,5,TCA,0.178,158.6
20,3,17,2,5,TCA,0.194,158.4
20,3,26,3,5,TCA,0.2,158.6
20,3,35,4,5,TCA,0.202,159.2
20,3,44,5,5,TCA,0.208,161
20,3,53,6,5,TCA,0.21,159.4
20,3,62,7,5,TCA,0.212,158.2
20,3,71,8,5,TCA,0.216,160.8
20,3,80,9,5,TCA,0.22,159
80,3,0,0,5,TCA,5.542,310
80,3,17,1,5,TCA,35.518,308.2
80,3,35,2,5,TCA,37.386,307.8
80,3,53,3,5,TCA,40.138,309
80,3,71,4,5,TCA,42.398,311.2
80,3,89,5,5,TCA,43.732,312
80,3,107,6,5,TCA,46.544,311.2
80,3,125,7,5,TCA,46.284,311.8
80,3,143,8,5,TCA,47.122,311.8
80,3,160,9,5,TCA,48.366,311.2
140,3,0,0,5,TCA,40.62,374.8
140,3,23,1,5,TCA,336.07,374.4
140,3,47,2,5,TCA,377.758,375.4
140,3,70,3,5,TCA,379.906,375
140,3,94,4,5,TCA,403.826,376.8
140,3,118,5,5,TCA,408.454,374
140,3,141,6,5,TCA,430.548,377.2
140,3,165,7,5,TCA,437.856,374.6
140,3,189,8,5,TCA,439.1,375.6
140,3,212,9,5,TCA,467.51,374.6
200,3,0,0,5,TCA,124.308,413.6
200,3,28,1,5,TCA,1284.09,411.8
200,3,56,2,5,TCA,1370.016,411.6
200,3,84,3,5,TCA,1473.138,413.8
200,3,113,4,5,TCA,1523.008,412.8
200,3,141,5,5,TCA,1614.518,415.2
200,3,169,6,5,TCA,1689.634,411.8
200,3,197,7,5,TCA,1698.826,414
200,3,226,8,5,TCA,1715.744,416.8
200,3,254,9,5,TCA,1809.568,415.8
